# team: unknown
# label: anxious
# timestamp: 20260227_145205
# sample_rate: 250
# samples: 15182
# duration_sec: 60.707
# channels: EOG1,EOG2,EMG3
#
timestamp,EOG1,EOG2,EMG3
1772221864.657418,34.0,237.0,-2014.0
1772221864.665418,32.0,236.0,-2018.0
1772221864.6593497,32.0,235.0,-2025.0
1772221864.6673496,34.0,235.0,-2024.0
1772221864.669547,35.0,236.0,-2016.0
1772221864.677547,36.0,236.0,-2017.0
1772221864.6711853,36.0,236.0,-2031.0
1772221864.6791852,35.0,236.0,-2035.0
1772221864.6728423,35.0,236.0,-2022.0
1772221864.6808422,35.0,236.0,-2028.0
1772221864.6736388,35.0,237.0,-2035.0
1772221864.6816387,35.0,237.0,-2029.0
1772221864.6736388,35.0,237.0,-2029.0
1772221864.6816387,36.0,238.0,-2038.0
1772221864.6736388,36.0,239.0,-2045.0
1772221864.6816387,37.0,239.0,-2042.0
1772221864.6756804,36.0,238.0,-2035.0
1772221864.6836803,36.0,237.0,-2037.0
1772221864.69417,34.0,236.0,-2048.0
1772221864.70217,35.0,238.0,-2053.0
1772221864.695696,36.0,238.0,-2047.0
1772221864.703696,36.0,238.0,-2044.0
1772221864.6994057,37.0,238.0,-2053.0
1772221864.7074056,38.0,239.0,-2055.0
1772221864.7077596,38.0,240.0,-2049.0
1772221864.7157595,37.0,239.0,-2045.0
1772221864.7334285,35.0,239.0,-2051.0
1772221864.7414284,35.0,238.0,-2060.0
1772221864.7347174,35.0,237.0,-2056.0
1772221864.7427173,36.0,238.0,-2052.0
1772221864.7543428,36.0,239.0,-2055.0
1772221864.7623427,37.0,239.0,-2062.0
1772221864.7569563,38.0,239.0,-2057.0
1772221864.7649562,38.0,240.0,-2045.0
1772221864.758518,39.0,240.0,-2047.0
1772221864.7665179,42.0,242.0,-2058.0
1772221864.760832,41.0,245.0,-2055.0
1772221864.768832,38.0,245.0,-2046.0
1772221864.764914,42.0,242.0,-2048.0
1772221864.772914,48.0,248.0,-2058.0
1772221864.772568,53.0,255.0,-2059.0
1772221864.780568,61.0,257.0,-2049.0
1772221864.7914026,63.0,260.0,-2043.0
1772221864.7994025,66.0,264.0,-2051.0
1772221864.7914026,73.0,271.0,-2056.0
1772221864.7994025,81.0,274.0,-2048.0
1772221864.79803,85.0,280.0,-2045.0
1772221864.8060298,88.0,285.0,-2053.0
1772221864.8048992,93.0,291.0,-2056.0
1772221864.812899,101.0,296.0,-2045.0
1772221864.81113,109.0,299.0,-2045.0
1772221864.81913,113.0,303.0,-2051.0
1772221864.8389196,119.0,306.0,-2056.0
1772221864.8469195,123.0,309.0,-2052.0
1772221864.8486595,126.0,312.0,-2043.0
1772221864.8566594,128.0,312.0,-2046.0
1772221864.8504388,130.0,312.0,-2054.0
1772221864.8584387,132.0,313.0,-2053.0
1772221864.8653367,132.0,313.0,-2041.0
1772221864.8733366,132.0,312.0,-2042.0
1772221864.8691397,131.0,311.0,-2051.0
1772221864.8771396,131.0,312.0,-2051.0
1772221864.898105,129.0,308.0,-2042.0
1772221864.9061048,126.0,307.0,-2040.0
1772221864.899435,125.0,304.0,-2047.0
1772221864.907435,125.0,302.0,-2046.0
1772221864.899435,123.0,300.0,-2036.0
1772221864.907435,119.0,298.0,-2026.0
1772221864.9007785,117.0,295.0,-2038.0
1772221864.9087784,115.0,294.0,-2045.0
1772221864.911822,111.0,290.0,-2036.0
1772221864.919822,109.0,290.0,-2030.0
1772221864.9158607,106.0,286.0,-2035.0
1772221864.9238605,102.0,283.0,-2036.0
1772221864.918331,101.0,282.0,-2027.0
1772221864.9263308,98.0,279.0,-2020.0
1772221864.918331,92.0,277.0,-2028.0
1772221864.9263308,90.0,275.0,-2040.0
1772221864.9244864,88.0,273.0,-2033.0
1772221864.9324863,85.0,270.0,-2019.0
1772221864.930628,83.0,270.0,-2021.0
1772221864.938628,80.0,269.0,-2028.0
1772221864.9402916,78.0,269.0,-2026.0
1772221864.9482915,78.0,269.0,-2018.0
1772221864.9480164,76.0,266.0,-2017.0
1772221864.9560163,73.0,265.0,-2024.0
1772221864.9820037,72.0,265.0,-2023.0
1772221864.9900036,72.0,264.0,-2013.0
1772221864.9820037,70.0,263.0,-2013.0
1772221864.9900036,69.0,263.0,-2022.0
1772221864.988723,68.0,263.0,-2018.0
1772221864.996723,68.0,262.0,-2005.0
1772221864.9897568,67.0,262.0,-2005.0
1772221864.9977567,66.0,261.0,-2016.0
1772221864.9928112,64.0,259.0,-2014.0
1772221865.000811,65.0,260.0,-2006.0
1772221864.9953747,65.0,260.0,-2008.0
1772221865.0033746,64.0,259.0,-2009.0
1772221865.0132115,65.0,259.0,-2011.0
1772221865.0212114,64.0,259.0,-2002.0
1772221865.0132115,63.0,259.0,-1993.0
1772221865.0212114,62.0,260.0,-1997.0
1772221865.020017,61.0,259.0,-2007.0
1772221865.0280168,61.0,259.0,-2006.0
1772221865.0290809,61.0,259.0,-2000.0
1772221865.0370808,60.0,259.0,-2005.0
1772221865.0353942,60.0,259.0,-2011.0
1772221865.043394,60.0,258.0,-2004.0
1772221865.0431051,60.0,260.0,-1997.0
1772221865.051105,60.0,260.0,-2000.0
1772221865.062638,59.0,259.0,-2006.0
1772221865.070638,58.0,259.0,-1999.0
1772221865.0641615,60.0,258.0,-1989.0
1772221865.0721614,59.0,259.0,-1994.0
1772221865.0669844,58.0,260.0,-2003.0
1772221865.0749843,59.0,260.0,-2002.0
1772221865.1031682,60.0,259.0,-1993.0
1772221865.1111681,60.0,258.0,-1992.0
1772221865.104462,59.0,259.0,-1995.0
1772221865.1124618,59.0,260.0,-1995.0
1772221865.1091228,60.0,260.0,-1987.0
1772221865.1171227,60.0,259.0,-1974.0
1772221865.1097903,60.0,259.0,-1969.0
1772221865.1177902,61.0,260.0,-1973.0
1772221865.1113615,61.0,260.0,-1977.0
1772221865.1193614,61.0,260.0,-1953.0
1772221865.1176558,61.0,259.0,-1928.0
1772221865.1256557,61.0,258.0,-1932.0
1772221865.1227725,62.0,259.0,-1872.0
1772221865.1307724,61.0,259.0,-1853.0
1772221865.1673334,60.0,259.0,-1976.0
