# team: unknown
# label: baseline
# timestamp: 20260227_145432
# sample_rate: 250
# samples: 15636
# duration_sec: 62.518
# channels: EOG1,EOG2,EMG3
#
timestamp,EOG1,EOG2,EMG3
1772222010.27738,40.0,261.0,-1557.0
1772222010.28538,42.0,263.0,-1559.0
1772222010.279476,44.0,263.0,-1564.0
1772222010.2874758,45.0,261.0,-1565.0
1772222010.279476,49.0,263.0,-1558.0
1772222010.2874758,55.0,266.0,-1555.0
1772222010.2856271,62.0,267.0,-1562.0
1772222010.293627,68.0,273.0,-1563.0
1772222010.2864275,70.0,275.0,-1559.0
1772222010.2944274,77.0,278.0,-1557.0
1772222010.2914927,82.0,282.0,-1560.0
1772222010.2994926,85.0,285.0,-1560.0
1772222010.2978723,90.0,291.0,-1555.0
1772222010.3058722,93.0,293.0,-1554.0
1772222010.3135464,95.0,293.0,-1557.0
1772222010.3215463,96.0,295.0,-1562.0
1772222010.3194807,97.0,295.0,-1562.0
1772222010.3274806,97.0,294.0,-1556.0
1772222010.322511,95.0,294.0,-1559.0
1772222010.3305109,93.0,292.0,-1566.0
1772222010.331743,92.0,290.0,-1564.0
1772222010.339743,88.0,288.0,-1557.0
1772222010.338614,86.0,286.0,-1560.0
1772222010.346614,83.0,282.0,-1565.0
1772222010.3565977,78.0,279.0,-1563.0
1772222010.3645976,74.0,276.0,-1557.0
1772222010.3626258,71.0,274.0,-1557.0
1772222010.3706257,69.0,271.0,-1562.0
1772222010.3641376,65.0,268.0,-1562.0
1772222010.3721375,61.0,265.0,-1557.0
1772222010.40343,59.0,261.0,-1555.0
1772222010.41143,56.0,258.0,-1560.0
1772222010.408721,54.0,254.0,-1561.0
1772222010.4167209,51.0,252.0,-1557.0
1772222010.409428,49.0,250.0,-1555.0
1772222010.4174278,47.0,248.0,-1560.0
1772222010.4109619,46.0,245.0,-1562.0
1772222010.4189618,44.0,244.0,-1557.0
1772222010.4109619,42.0,243.0,-1551.0
1772222010.4189618,41.0,242.0,-1558.0
1772222010.411974,43.0,241.0,-1564.0
1772222010.4199739,41.0,240.0,-1559.0
1772222010.4177177,41.0,240.0,-1553.0
1772222010.4257176,41.0,238.0,-1555.0
1772222010.4274096,39.0,237.0,-1561.0
1772222010.4354095,39.0,237.0,-1560.0
1772222010.4351158,38.0,236.0,-1554.0
1772222010.4431157,37.0,238.0,-1554.0
1772222010.4559376,37.0,236.0,-1562.0
