# team: unknown
# label: peace_baseline-EOG
# timestamp: 20260227_150451
# sample_rate: 250
# samples: 15216
# duration_sec: 60.868
# channels: EOG1,EOG2,EMG3
#
timestamp,EOG1,EOG2,EMG3
1772222630.956964,47.0,356.0,-1276.0
1772222630.964964,46.0,355.0,-1277.0
1772222630.9585502,52.0,356.0,-1274.0
1772222630.96655,54.0,359.0,-1271.0
1772222630.9605627,54.0,363.0,-1271.0
1772222630.9685626,53.0,358.0,-1279.0
1772222630.9640925,52.0,354.0,-1283.0
1772222630.9720924,52.0,351.0,-1277.0
1772222630.9843113,54.0,356.0,-1276.0
1772222630.9923112,52.0,357.0,-1284.0
1772222630.990643,53.0,356.0,-1284.0
1772222630.998643,55.0,358.0,-1279.0
1772222630.990643,56.0,358.0,-1276.0
1772222630.998643,55.0,352.0,-1280.0
1772222631.0022075,56.0,357.0,-1280.0
1772222631.0102074,54.0,357.0,-1277.0
1772222631.0052571,51.0,355.0,-1277.0
1772222631.013257,51.0,352.0,-1278.0
1772222631.0143075,50.0,349.0,-1278.0
1772222631.0223074,49.0,346.0,-1274.0
1772222631.0535004,50.0,344.0,-1273.0
1772222631.0615003,49.0,344.0,-1275.0
1772222631.0535004,45.0,346.0,-1275.0
1772222631.0615003,43.0,345.0,-1276.0
1772222631.0547338,42.0,342.0,-1275.0
1772222631.0627337,44.0,338.0,-1273.0
1772222631.0800052,44.0,337.0,-1275.0
1772222631.088005,43.0,340.0,-1274.0
1772222631.088601,41.0,338.0,-1273.0
1772222631.096601,40.0,337.0,-1272.0
1772222631.088601,39.0,337.0,-1277.0
1772222631.096601,38.0,335.0,-1278.0
1772222631.0968301,39.0,330.0,-1274.0
1772222631.10483,37.0,331.0,-1271.0
1772222631.0981283,35.0,330.0,-1275.0
1772222631.1061282,34.0,329.0,-1278.0
1772222631.0981283,32.0,324.0,-1273.0
1772222631.1061282,31.0,323.0,-1275.0
1772222631.0981283,32.0,323.0,-1279.0
1772222631.1061282,30.0,322.0,-1279.0
1772222631.1016498,28.0,323.0,-1278.0
1772222631.1096497,27.0,323.0,-1275.0
1772222631.1112034,29.0,319.0,-1276.0
1772222631.1192033,29.0,318.0,-1280.0
1772222631.132113,28.0,320.0,-1279.0
1772222631.1401129,25.0,318.0,-1277.0
1772222631.1340384,24.0,315.0,-1276.0
1772222631.1420383,22.0,312.0,-1278.0
1772222631.1348128,20.0,314.0,-1281.0
1772222631.1428127,22.0,312.0,-1277.0
1772222631.1408567,25.0,308.0,-1279.0
1772222631.1488566,21.0,307.0,-1281.0
1772222631.1519296,20.0,309.0,-1282.0
1772222631.1599295,23.0,312.0,-1279.0
1772222631.180545,22.0,309.0,-1278.0
1772222631.188545,23.0,308.0,-1282.0
1772222631.180545,19.0,307.0,-1282.0
1772222631.188545,18.0,305.0,-1279.0
1772222631.1936243,26.0,312.0,-1277.0
1772222631.2016242,21.0,311.0,-1278.0
1772222631.1951878,21.0,302.0,-1282.0
1772222631.2031877,24.0,307.0,-1279.0
1772222631.1972024,18.0,314.0,-1278.0
1772222631.2052023,21.0,317.0,-1279.0
1772222631.199226,22.0,306.0,-1283.0
1772222631.2072258,22.0,300.0,-1279.0
1772222631.2033076,24.0,304.0,-1279.0
1772222631.2113075,19.0,310.0,-1280.0
1772222631.225822,21.0,313.0,-1281.0
1772222631.2338219,24.0,317.0,-1282.0
1772222631.2278209,24.0,312.0,-1279.0
1772222631.2358208,26.0,312.0,-1278.0
1772222631.229555,28.0,314.0,-1283.0
1772222631.2375548,29.0,319.0,-1280.0
1772222631.237817,27.0,322.0,-1277.0
1772222631.245817,32.0,318.0,-1279.0
1772222631.2445128,26.0,317.0,-1281.0
1772222631.2525127,23.0,313.0,-1279.0
1772222631.2522452,26.0,315.0,-1275.0
1772222631.260245,26.0,316.0,-1278.0
1772222631.2614155,27.0,316.0,-1283.0
1772222631.2694154,26.0,315.0,-1281.0
1772222631.2735956,26.0,315.0,-1277.0
1772222631.2815955,28.0,317.0,-1276.0
1772222631.3010402,26.0,318.0,-1277.0
1772222631.30904,25.0,320.0,-1277.0
1772222631.31936,25.0,321.0,-1280.0
1772222631.32736,29.0,318.0,-1277.0
1772222631.3267612,30.0,315.0,-1280.0
1772222631.3347611,27.0,316.0,-1279.0
1772222631.328275,28.0,316.0,-1276.0
1772222631.3362749,26.0,315.0,-1274.0
1772222631.3668506,25.0,318.0,-1279.0
1772222631.3748505,24.0,314.0,-1278.0
1772222631.3676631,24.0,313.0,-1278.0
1772222631.375663,26.0,315.0,-1277.0
1772222631.3835886,27.0,317.0,-1278.0
1772222631.3915884,25.0,317.0,-1281.0
1772222631.385188,24.0,317.0,-1279.0
1772222631.393188,25.0,318.0,-1276.0
1772222631.385188,26.0,317.0,-1275.0
1772222631.393188,28.0,316.0,-1281.0
1772222631.4093583,30.0,315.0,-1280.0
1772222631.4173582,28.0,316.0,-1276.0
